@relation 'numeric-weka.filters.unsupervised.attribute.Remove-R1-27,30-56,58-72,74-89,91-93,95-124,127-129,131-137,139-188,190-191,194-198,203-210,212-216,219-229'

@attribute Var28 numeric
@attribute Var29 numeric
@attribute Var57 numeric
@attribute Var73 numeric
@attribute Var90 numeric
@attribute Var94 numeric
@attribute Var125 numeric
@attribute Var126 numeric
@attribute Var130 numeric
@attribute Var138 numeric
@attribute Var189 numeric
@attribute Var192 numeric
@attribute Var193 numeric
@attribute Var199 numeric
@attribute Var200 numeric
@attribute Var201 numeric
@attribute Var202 numeric
@attribute Var211 numeric
@attribute Var217 numeric
@attribute Var218 numeric
@attribute Var230 {0,1}

@data
89.84,?,6.3177,12,?,?,0,4,?,?,?,232,26,3161,0,0,2927,1,18554,2,0
200,?,3.0327,28,?,?,0,4,?,?,?,109,26,7842,0,0,4250,1,14873,2,0
336.56,?,6.7776,14,?,101110,0,-30,?,?,204,393,6,5568,0,0,5760,1,3636,1,0
213.36,?,2.7695,40,?,11040,1242,14,?,?,?,311,26,5409,0,0,4183,1,3765,1,0
203.44,?,6.5428,38,?,241530,378,-24,?,?,?,353,6,3825,0,0,1561,2,3237,2,0
200,?,3.5168,68,?,?,4392,44,?,?,264,205,26,6547,860,2,5337,1,553,1,0
133.12,?,6.8906,114,?,?,7830,22,?,?,282,311,26,401,16802,0,1263,1,17864,2,0
?,?,2.9254,8,?,?,?,-18,?,0,?,67,26,1656,0,0,2805,2,143,2,0
191.36,?,1.0303,48,?,660,152650,4,?,?,?,121,26,7842,10271,0,1941,1,10040,1,0
120.4,?,3.834,28,?,?,0,-20,?,?,?,145,26,7020,0,0,5466,2,9904,2,0
397.44,?,6.0797,12,?,?,0,-12,?,?,?,28,26,2123,0,0,2739,2,3571,1,0
133.04,?,0.99231,66,?,62685,56421,42,?,?,?,373,26,3779,22279,2,2070,1,10835,1,0
186.64,?,6.878,22,?,?,0,4,?,?,?,209,26,6892,0,0,4866,1,5772,1,0
137.68,?,2.9098,118,?,0,55845,?,?,?,228,101,1,1277,20907,2,4390,1,16485,1,0
274.16,?,4.8547,12,?,?,0,?,?,?,312,216,26,1909,0,0,2091,1,3230,2,0
220.08,?,5.5433,20,?,127660,0,?,?,?,?,23,26,864,0,0,1279,1,13103,2,0
133.12,?,4.3307,168,?,112770,8766,?,?,?,?,348,46,2316,18162,0,3042,1,9613,2,0
286.96,?,5.8755,24,?,?,0,4,?,?,?,335,26,5568,0,0,5204,1,10899,2,0
282.56,?,1.1816,26,?,5547,0,-22,?,?,282,274,26,309,0,0,4218,2,10556,1,0
234.72,?,2.6187,16,?,?,0,4,?,?,?,304,26,7821,0,0,5166,1,3803,1,0
642.64,?,5.8725,114,?,2451,369,?,?,?,156,232,26,1725,13518,0,2927,1,18554,2,0
133.12,?,3.7996,64,?,?,1179,40,?,?,?,335,26,5802,7693,0,5237,1,5907,2,0
198.88,?,5.2617,42,?,?,729,-20,?,?,144,308,26,952,0,0,4784,2,10119,1,1
86.96,?,2.8573,32,?,6663,153,4,?,?,?,90,26,7605,0,0,2573,1,16393,2,0
253.52,?,1.9062,180,?,423,45234,30,?,?,?,246,18,6877,8904,0,2657,1,18039,2,0
186.64,?,4.4698,120,?,79131,8604,6,?,?,?,70,1,4016,19603,2,3433,1,14670,2,0
166.56,?,4.3873,48,?,6033,1773,24,?,?,288,206,26,4775,5832,0,1110,1,2166,2,0
379.6,?,6.4326,30,?,?,?,6,?,?,?,374,26,2566,0,0,5253,1,2446,2,0
166.56,?,1.915,18,?,0,0,?,?,?,?,379,26,1062,0,0,5246,1,15780,2,0
286.96,?,2.8643,44,?,?,5931,-20,?,?,366,108,26,4742,0,0,3957,2,8121,1,0
133.12,?,4.2408,56,?,93657,60210,28,?,?,300,295,26,4837,0,0,2117,1,12642,2,0
186.64,?,4.2792,146,?,702,73179,?,?,?,300,173,1,3024,12049,2,116,1,1666,1,0
166.56,?,3.3001,156,?,?,13689,?,?,?,348,80,1,6997,1742,2,3086,1,12868,1,0
176.56,?,3.7483,186,?,27552,8307,?,?,?,?,50,46,7962,14670,0,2137,1,1568,2,0
166.56,?,3.5924,84,?,?,41067,60,?,?,132,39,26,2071,14921,2,3018,1,7324,1,0
220.08,?,1.5665,48,?,?,16803,?,?,?,252,362,26,4797,0,0,5574,1,11635,2,0
392.08,?,2.9735,12,?,?,0,4,?,?,?,219,26,235,0,0,3096,1,15914,1,1
153.2,?,6.1809,82,?,?,657,?,?,?,342,359,26,7168,21088,2,4168,1,3006,1,0
253.52,?,3.0669,22,?,?,0,4,?,?,318,171,26,5566,0,0,2863,1,12118,2,0
186.64,?,5.241,54,?,204770,31851,28,?,?,246,94,26,4016,2518,0,1,1,2691,1,0
?,0,4.9754,4,0,?,?,?,?,?,?,283,26,6082,0,0,155,1,10187,2,0
200,?,3.012,100,?,8487,14400,?,?,?,360,20,26,6926,1304,0,2429,1,4740,1,0
166.56,?,5.6905,98,?,0,2277,?,?,?,138,81,26,4572,7137,2,3278,1,2749,2,0
200,?,4.711,194,?,507230,22428,34,?,?,330,50,1,1479,3510,2,2542,1,2725,2,0
313.68,?,4.8695,22,?,?,0,4,?,?,282,152,26,1710,0,0,1268,1,8527,1,0
253.52,?,5.7142,158,?,748260,39294,-30,?,?,?,57,1,4719,2875,2,766,1,2098,1,0
220.08,?,6.3871,16,?,?,0,?,?,?,?,139,26,5761,0,0,2762,1,11615,2,0
166.56,?,4.0254,108,?,89355,5121,8,?,?,?,123,35,6997,0,0,1441,1,5803,1,0
0,?,2.2608,104,?,54,3033,?,?,?,?,296,26,0,0,0,0,1,16338,2,0
23.36,?,0.65627,18,?,?,0,-6,?,?,?,135,26,5935,0,0,3713,2,18684,1,0
200,?,4.5187,42,?,59274,148210,16,?,?,234,360,26,4797,0,0,5874,1,3733,1,0
?,?,5.1995,10,?,?,?,4,?,?,288,131,26,5568,0,0,66,1,16823,2,0
719.92,?,1.3427,22,?,?,0,-2,?,?,324,227,26,2114,0,0,598,1,18628,2,0
320.4,?,5.771,54,?,?,10224,30,?,?,?,7,26,4272,13123,0,4644,1,10457,1,0
?,?,0.56719,10,?,?,?,4,?,?,318,288,26,3324,0,0,1320,1,2405,2,0
254.72,?,3.5178,22,?,123200,0,-22,?,?,?,107,26,5770,0,0,2588,2,4585,2,0
157.68,?,0.92309,102,?,?,936,24,?,?,?,159,26,4837,10051,0,5606,1,7634,2,0
230.56,?,0.09357,20,?,?,0,-4,?,?,138,152,26,1164,0,0,3441,2,10992,1,0
220.08,?,1.6208,66,?,?,819,14,?,?,?,48,17,1449,752,0,1670,1,7515,2,0
166.56,?,3.7129,146,?,?,28656,?,?,?,192,302,44,3814,2896,2,1383,1,5793,1,0
318.88,?,4.3125,116,?,4248,10989,36,?,?,276,166,35,724,18258,2,4864,1,1614,1,0
100.32,?,4.3813,58,?,101360,41517,4,?,?,?,152,26,80,6095,0,1291,1,1717,2,0
253.52,?,1.2564,78,?,47745,24012,30,?,?,276,311,26,873,4498,2,1227,1,4724,1,0
20.08,?,6.6898,14,?,?,0,-10,?,?,114,130,26,6502,0,0,4850,1,17034,1,0
220.08,?,6.8609,34,?,11601,8379,10,?,?,390,395,26,5935,0,0,4589,1,11718,2,0
257.28,?,4.1028,58,?,15783,53937,-24,?,?,252,182,26,4956,8539,0,254,2,2724,2,0
?,?,5.812,10,?,?,?,-14,?,?,?,314,26,2053,0,0,5690,2,18041,2,0
166.56,?,2.8374,58,?,?,128760,34,?,?,?,309,26,3063,16289,0,1324,1,14377,2,0
166.56,?,2.135,88,?,?,1755,-26,?,?,?,118,26,3992,5714,2,3567,1,17110,1,0
166.56,?,1.483,106,?,?,3699,?,?,?,?,28,1,2053,21627,2,4591,1,5116,1,0
299.2,?,5.6764,44,?,66402,13122,?,?,?,168,354,26,4673,0,0,783,1,17556,1,0
176.56,?,4.7844,52,?,?,67338,22,?,?,?,176,26,2275,19853,2,1029,1,14356,1,0
253.52,?,3.219,42,?,?,1854,?,?,?,?,5,26,5949,0,0,3005,1,12693,1,0
20.08,?,1.6595,34,?,91005,7740,4,?,?,?,368,26,4797,0,0,1229,1,16751,1,0
?,?,4.1126,6,?,?,?,-18,3,?,132,366,26,6374,0,0,6005,2,17760,2,0
166.56,?,5.6729,126,?,2784,13743,?,?,?,?,246,37,6997,1317,0,5126,1,1724,2,0
186.64,?,0.43089,58,?,90510,59589,4,?,?,?,76,26,4797,18958,0,3086,1,18163,2,0
146.48,?,6.9084,86,?,74604,3582,?,?,?,288,183,26,4307,13346,2,2988,1,13094,2,0
133.76,?,6.9677,174,?,34530,68553,?,?,?,?,262,1,7902,3392,2,5211,1,13808,2,0
166.56,?,4.7129,16,?,37716,0,4,?,?,?,76,26,2141,0,0,4103,1,15158,2,0
220.08,?,3.9263,96,?,126250,4068,6,?,?,?,367,26,1665,18197,0,230,1,11992,2,0
265.76,?,0.16471,34,?,?,169220,-20,?,?,?,380,26,2933,0,0,3096,2,15914,1,0
166.56,?,6.5913,86,?,50727,8919,6,?,?,?,131,26,3049,37,0,66,2,1792,2,0
286.96,?,2.4636,48,?,208400,270,-22,?,?,312,136,26,3642,2095,2,1337,2,13786,1,1
286.96,?,4.5428,152,?,365400,35235,-20,?,?,318,123,1,873,17807,2,5809,2,132,2,0
256.88,?,2.4424,84,?,352370,21132,?,?,?,294,354,26,2824,20964,2,4714,1,13134,1,0
125.44,?,6.5176,36,?,18,405,?,?,?,438,329,26,1187,0,0,2735,1,9530,2,0
253.52,?,6.3704,18,?,71310,0,4,?,?,?,389,26,3711,0,0,55,1,2805,1,0
286.96,?,5.5789,132,?,3570,5148,?,?,?,216,366,1,8105,7330,2,975,1,18420,1,0
166.56,?,2.7336,64,?,?,45279,4,?,?,360,239,26,1909,20686,2,2879,1,10480,1,0
220.08,?,1.8235,60,?,?,2907,?,?,?,?,395,26,235,12334,2,2299,1,0,0,0
133.12,?,6.7765,128,?,?,3708,34,?,?,?,67,1,3912,458,0,4096,1,12184,2,0
133.12,?,5.2467,226,?,?,101890,-30,?,?,?,234,1,3324,7929,2,1026,1,1828,1,0
200,?,2.2922,124,?,?,747,?,?,?,?,317,1,1479,22290,2,1359,1,1856,1,0
?,?,0.74001,6,?,?,?,-30,3,?,438,192,26,4776,0,0,2698,2,12094,2,0
265.04,?,5.072,88,?,?,11061,-22,?,?,?,236,26,5566,11081,2,5558,2,8490,1,0
?,?,0.16727,8,?,?,?,-16,?,0,?,109,26,80,0,0,3224,2,11987,2,0
407.36,?,3.0718,58,?,68160,97866,?,?,?,180,295,26,5128,0,0,2791,1,9512,2,0
?,?,1.3301,10,?,?,?,4,?,?,?,80,26,2506,0,0,5599,1,6610,2,0
186.64,?,1.4706,34,?,?,3528,-30,?,?,?,183,26,2083,0,0,754,1,1996,2,0
253.52,?,1.2038,90,?,1344,109980,34,?,?,336,45,26,4113,3749,0,5143,1,10742,2,0
220.08,?,0.45354,48,?,?,14355,?,?,?,?,107,26,2268,17838,2,3413,1,5440,1,0
166.56,?,6.4191,100,?,93816,38727,?,?,?,?,176,26,6926,6908,2,2022,1,9728,1,0
186.64,?,5.8928,44,?,73029,14886,?,?,?,330,79,26,3619,0,0,2192,1,4433,2,0
200,?,1.0617,32,?,?,495,6,?,?,342,30,26,5935,0,0,2724,1,1255,2,0
257.04,?,4.7541,28,?,3306,0,-26,?,?,?,262,26,3063,0,0,3353,1,8672,2,0
257.76,?,4.4078,88,?,77574,121660,-24,?,?,324,76,26,5393,2983,0,928,2,539,2,0
229.92,?,2.1957,28,?,2907,0,-26,?,?,?,395,26,2269,0,0,3388,1,14722,2,0
265.6,?,0.54326,42,?,?,1251,-22,?,?,318,155,26,7118,0,0,1181,2,17281,2,0
286.96,?,1.2636,64,?,9837,63207,40,?,?,?,15,26,3819,12910,0,3825,1,2465,2,0
257.6,?,4.8778,24,?,11700,0,4,?,?,234,365,26,5935,0,0,4730,1,11576,1,0
268.72,?,6.4766,156,?,?,53226,20,?,?,?,80,1,7962,0,0,4311,1,18082,2,0
?,?,2.2916,10,?,?,?,?,?,?,?,18,26,1449,0,0,4543,1,263,2,0
357.36,?,1.0746,36,?,36792,108900,?,?,?,?,83,6,4266,0,0,155,1,5741,2,0
336.56,?,6.4849,14,?,17040,0,4,?,?,336,6,26,35,0,0,3735,1,6544,2,0
186.64,?,2.6131,72,?,?,14625,8,?,?,204,81,26,3704,7486,0,828,1,4004,2,0
233.44,?,1.9947,34,?,816,171,-20,?,?,318,264,26,5789,0,0,5189,2,9072,2,0
233.44,?,1.8483,120,?,37032,60660,?,?,?,282,246,1,1411,21731,0,809,1,16501,2,0
200,?,4.0521,34,?,111010,6039,4,?,?,264,309,26,4016,0,0,3415,1,8965,2,0
186.64,?,1.1139,136,?,16557,17820,20,?,?,168,123,1,4115,19286,2,5809,1,132,2,1
286.96,?,5.6093,32,?,?,4104,-30,?,?,?,79,26,1411,0,0,4270,1,3357,2,0
286.96,?,6.3907,66,?,?,180,4,?,?,282,257,35,4229,15774,0,4189,1,5388,2,0
166.56,?,1.1213,170,?,28101,21744,4,?,?,?,206,1,4572,14342,0,5434,1,4416,2,0
200,?,2.8972,88,?,?,20682,?,?,?,?,317,26,2269,18289,2,4824,1,3601,1,0
264.64,?,5.2433,12,?,120100,0,4,?,?,192,309,26,5802,0,0,347,1,12920,1,0
286.96,?,1.696,54,?,0,119400,30,?,?,?,203,26,2053,21190,2,5898,1,5272,1,0
200,?,4.1451,80,?,77682,17712,-30,?,?,?,311,26,6433,10539,2,3485,1,2283,2,0
220.08,?,2.2271,34,?,15882,26325,?,?,?,210,35,26,3978,0,0,2220,1,16109,1,0
240.56,?,0.29887,86,?,156990,49230,?,?,?,228,75,26,4742,9108,0,3198,1,9245,2,0
?,?,1.2119,10,?,?,?,4,?,?,?,397,26,1655,0,0,1544,1,373,2,0
286.96,?,4.5518,62,?,?,7335,-20,?,?,360,146,26,4743,10352,2,5828,2,1887,1,0
176.56,?,2.9996,72,?,194860,30384,4,?,?,?,308,26,7751,2618,2,4024,1,14801,1,0
286.96,?,2.1339,136,?,125590,16461,10,?,?,?,131,46,3439,7803,2,3628,1,7869,1,0
288.48,?,4.5448,16,?,?,0,4,?,?,?,295,26,7963,0,0,3916,1,8546,1,0
186.64,?,5.3014,38,?,78552,60714,12,?,?,?,309,26,715,0,0,3147,1,10507,2,0
166.56,?,1.6702,86,?,18258,48735,?,?,?,?,222,26,6550,14578,0,5068,1,9176,1,0
?,?,4.3805,10,?,?,?,-14,?,?,144,274,26,3123,0,0,2312,2,3011,1,0
?,?,6.2369,8,?,?,?,?,?,0,?,241,26,7863,0,0,2263,1,14872,2,0
?,?,6.0479,10,?,?,?,-14,?,?,?,380,26,6709,0,0,2531,2,1468,1,0
253.52,?,5.7488,62,?,291140,44478,8,?,?,?,314,26,2083,18115,0,512,1,2881,2,0
0,?,3.0857,64,?,141860,35802,?,?,?,210,262,50,4168,0,0,5211,1,4466,2,0
92.88,?,2.317,34,?,129840,145630,-20,?,?,?,329,26,5284,0,0,4950,2,6089,2,0
220.08,?,4.6964,96,?,?,61758,-30,?,?,?,12,26,1725,0,0,3505,1,9884,1,1
186.64,?,4.1438,40,?,48363,19071,16,?,?,318,202,26,6333,0,0,5625,1,18854,1,0
166.56,?,4.0115,16,?,403640,0,4,?,?,?,55,26,4797,0,0,1365,1,0,0,0
201.36,?,1.9571,158,?,294660,78543,-24,?,?,?,8,44,306,0,0,1464,2,17733,1,0
200,?,0.19227,184,?,?,24039,?,?,?,150,91,26,5614,21917,2,2471,1,1198,2,0
186.64,?,0.51015,26,?,?,0,4,?,?,?,78,26,2806,0,0,3025,1,11750,2,0
?,0,2.0075,4,0,?,?,-20,?,?,?,173,26,3037,0,0,1873,2,13203,1,0
302.96,?,6.3585,30,?,50397,720,-22,?,?,210,64,26,5568,0,0,3927,2,5311,2,0
?,?,0.98141,8,?,?,?,4,?,0,240,95,26,2806,0,0,5540,1,2162,2,0
186.64,?,2.4038,18,?,5067,0,4,?,?,?,231,26,1534,0,0,376,1,17549,2,0
20.08,?,1.0906,14,?,61743,0,-10,?,?,?,157,26,7638,0,0,4771,1,13065,2,0
166.56,?,0.86734,40,?,77802,2196,16,?,?,?,115,26,5935,0,0,572,1,7387,1,0
254.72,?,1.6428,110,?,15483,78615,?,?,?,222,290,1,8034,0,0,5300,1,9061,1,0
186.64,?,4.8515,38,?,23658,13653,?,?,?,?,182,26,873,0,0,2958,1,13588,1,0
166.56,?,0.39073,60,?,229000,46179,36,?,?,300,29,26,6997,13173,0,3130,1,12753,2,0
220.48,?,5.4916,46,?,?,72585,20,?,?,372,75,26,2722,0,0,3529,1,12100,2,0
76.88,?,2.3457,116,?,?,43191,-22,?,?,?,41,1,1665,13879,0,2329,2,7176,2,0
327.28,?,2.5789,242,?,191950,7641,?,?,?,?,264,32,1878,0,0,2982,1,18867,1,0
?,?,6.1938,10,?,?,?,-14,?,?,294,67,26,5645,0,0,2815,2,18314,1,0
198.88,?,6.2074,14,?,49251,0,4,?,?,?,399,26,4797,0,0,4975,1,14152,1,0
166.56,?,3.8571,82,?,0,77481,4,?,?,?,131,26,6502,18336,2,3944,1,13609,1,0
263.52,?,4.2294,18,?,373890,0,-20,?,?,222,109,26,2141,0,0,23,2,8695,1,0
220.08,?,3.8938,112,?,58809,85149,?,?,?,336,286,1,3819,11788,2,2756,1,18946,1,0
284.88,?,4.9603,24,?,32517,0,-18,?,?,240,353,26,5332,0,0,1937,2,5797,2,0
220.08,?,3.7887,74,?,113320,5841,?,?,?,252,5,26,6269,150,2,3512,1,50,2,0
?,?,4.6319,8,?,?,?,-18,?,0,?,241,6,7912,0,0,2343,2,9402,2,0
273.6,?,5.5349,86,?,1524,57186,-22,?,?,300,68,26,6573,13273,2,1516,2,13771,1,0
278.48,?,3.3986,52,?,7680,53919,-14,?,?,?,286,26,7514,4005,2,1882,2,3235,1,0
253.52,?,1.2205,24,?,602160,0,-20,?,?,?,302,26,2316,0,0,3089,2,3942,1,0
233.44,?,6.1596,54,?,895090,9036,30,?,?,156,109,26,952,1049,2,3820,1,17165,2,0
186.64,?,4.1688,202,?,46206,58617,?,?,?,?,375,49,2141,18812,2,5898,1,5272,1,0
410.64,?,2.169,58,?,?,4248,?,?,?,?,307,26,306,8910,0,2557,1,1723,2,0
267.04,?,5.2655,90,?,199070,594,-30,?,?,?,352,26,5204,1442,2,3955,1,5551,1,0
176.56,?,6.2209,170,?,?,56673,-28,?,?,?,80,6,4016,14081,0,413,1,1886,1,0
220.08,?,6.981,18,?,88581,0,?,?,?,216,30,26,5568,0,0,4025,1,5929,1,0
20.08,?,1.5366,112,?,53286,6516,4,?,?,?,262,1,4797,0,0,2476,1,17402,2,0
256.16,?,6.0406,38,?,?,?,14,?,?,?,159,26,7821,0,0,2787,1,6314,2,0
451.76,?,0.85858,14,?,300960,0,-12,?,?,216,169,26,2357,0,0,5936,1,6774,2,0
200,?,3.1912,24,?,178730,0,4,?,?,?,5,26,1656,0,0,407,1,9532,1,0
166.56,?,5.2965,106,?,257170,33201,?,?,?,150,155,17,1852,1092,0,3390,1,13017,2,0
327.6,?,0.47383,14,?,101490,0,4,?,?,264,347,26,713,0,0,4399,1,16444,1,0
0,?,5.2213,104,?,?,48789,?,?,?,168,124,1,4201,3865,2,1040,1,16577,1,0
318.08,?,1.6223,156,?,?,684,-20,?,?,?,183,44,7962,118,0,131,2,7743,2,0
263.52,?,1.113,34,?,?,186670,4,?,?,264,347,26,4062,0,0,3285,1,776,2,0
186.64,?,4.827,30,?,147540,2016,4,?,?,318,251,26,6502,0,0,916,1,17988,2,0
243.92,?,0.96796,16,?,81897,0,-8,?,?,?,203,26,3161,0,0,4944,2,11808,1,0
166.56,?,2.1602,38,?,43398,70533,14,?,?,174,105,26,6279,0,0,4529,1,377,2,0
266.88,?,6.338,106,?,104310,9189,?,?,?,246,222,26,713,19650,0,1962,1,10025,2,0
?,0,1.9408,4,0,?,?,-20,?,?,138,123,26,4528,0,0,1626,1,13453,1,0
266.88,?,3.2243,64,?,77226,9603,-30,?,?,282,92,26,1282,20447,2,5973,1,4228,1,0
?,?,0.60009,6,?,?,?,-18,3,?,?,247,26,3024,0,0,1367,2,11105,1,0
253.52,?,5.448,84,?,129930,14949,-20,?,?,?,55,6,2350,21493,2,5887,2,1378,1,0
186.64,?,4.1688,32,?,30294,10845,8,?,?,?,397,26,1272,0,0,5471,1,9634,1,0
234.72,?,0.1724,112,?,5448,29709,?,?,?,156,153,1,3099,22234,2,5943,1,8138,1,0
166.56,?,4.0914,82,?,14079,122580,22,?,?,?,5,17,6502,4365,0,2111,1,2404,2,0
166.56,?,2.3273,58,?,?,17217,34,?,?,?,264,6,6822,0,0,1492,1,8395,1,0
286.96,?,0.52553,198,?,1968,15507,32,?,?,?,344,29,7902,2301,2,2883,1,8741,1,0
166.56,?,3.5206,108,?,528320,6732,?,?,?,?,155,26,5484,10400,2,3355,1,3460,1,0
253.52,?,4.2564,22,?,?,0,4,?,?,294,173,26,7963,0,0,4815,1,16518,1,0
133.12,?,0.56249,44,?,?,41481,-6,?,?,?,45,26,6680,0,0,5238,1,7817,2,0
220.08,?,4.0265,146,?,235480,2241,?,?,?,138,104,1,2710,4816,2,5639,1,3877,2,0
166.56,?,3.1021,80,?,?,30915,56,?,?,?,70,26,1021,8701,0,2547,1,445,2,0
286.96,?,5.2999,16,?,?,0,4,?,?,?,209,26,7902,0,0,5626,1,18153,2,0
186.64,?,4.652,58,?,?,61578,-22,?,?,234,368,26,4990,19806,0,5023,2,2883,1,0
166.56,?,4.9118,82,?,10761,87660,4,?,?,?,375,26,1782,20410,2,102,1,6420,1,0
166.56,?,0.43132,180,?,?,1350,4,?,?,?,246,6,5409,0,0,3022,1,12078,1,0
424.48,?,4.7315,60,?,128010,17874,-20,?,?,300,37,26,2566,11295,0,4999,2,5826,2,0
?,?,5.733,8,?,?,?,-16,?,0,?,161,26,7434,0,0,5572,2,9736,1,0
?,?,3.9092,8,?,?,?,-16,?,0,198,146,26,2818,0,0,1617,2,1043,2,0
280.72,?,1.8,18,?,?,0,?,?,?,?,176,26,7609,0,0,4323,1,15700,1,0
286.96,?,1.8838,148,?,?,42408,?,?,?,222,176,1,1243,12119,2,2595,1,18160,1,0
186.64,?,3.9586,32,?,23829,2970,8,?,?,342,51,26,6926,0,0,1184,1,12819,1,0
133.12,?,6.0446,50,?,?,33597,?,?,?,?,183,26,713,16531,2,1657,1,954,1,0
265.84,?,2.3256,16,?,145960,0,4,?,?,?,64,26,1021,0,0,5899,1,15880,1,0
280.24,?,4.1946,62,?,177100,136920,?,?,?,270,370,26,4837,298,0,4830,1,11019,2,0
95.92,?,6.3249,32,?,112580,3960,-28,?,?,?,163,26,2053,0,0,2171,1,1052,2,0
294,?,3.3072,108,?,?,21933,?,?,?,?,232,26,1144,15783,0,2081,1,9487,2,0
240.56,?,4.9131,42,?,?,2142,18,?,?,216,185,26,2611,0,0,5101,1,14035,2,0
86.96,?,5.0105,34,?,?,?,8,?,?,180,76,26,2083,0,0,3086,1,12868,1,0
166.56,?,4.2282,86,?,?,102580,38,?,?,?,33,26,5888,18547,0,5840,1,2159,2,0
286.88,?,1.7887,12,?,132760,0,-18,?,?,?,266,6,3400,0,0,3632,2,6360,1,0
292,?,3.0899,110,?,?,1458,-28,?,?,?,268,1,5409,2816,2,5532,1,4853,1,0
200,?,1.1092,58,?,?,51138,4,?,?,216,247,26,4016,11587,2,3477,1,16274,1,0
